Level,Item Number,Partnumber,Manufacturer P/N,Quantity
0,1,84-00008,"TLA, RUBY BATTERY, EVT",1
1,1,61-00513,Battery heat shrinking tube,5
1,2,65-00031,Li-Ion 18650 Cell,8
1,3,71-00075,Battery Case,1
1,4,71-00076,Battery Cap,1
1,5,71-00077,Battery Cell Cage,2
1,6,71-00078,Battery Pushbutton,1
1,7,71-00079,Battery Lightpipe,1
1,8,72-00059,Hiluminstrip - short,6
1,9,72-00060,Hiluminstrip - long,5
1,10,74-00048,STP38A0200060S,2
1,11,74-00049,STP380250250S,4
1,12,74-00060,"BN 4851, Screw ISO 14581 M2,5x8",4
1,13,75-00052,0X-RDF1361,2
1,14,75-00053,KS 1153,16
1,15,76-00010,UEBK-30358D,1
1,16,76-00018,NPR37336,1
1,17,76-00019,NPR37337,1
1,18,76-00020,"O-Ring 4x1, NBR 70",1
1,19,76-00021,"O-Ring 80x1, NBR 70",1
1,20,81-00027,"PCBA, RUBY BATTERY CONNECTOR to Battery, EVT",1
2,1,63-00012,"63-00012, PCB (UNPOPULATED), BATTERY CONNECTOR to BATTERY PCB",1
2,2,61-00372,9774010151R,2
2,3,62-00022,UEBK-30257,1
1,21,81-00028,"PCBA, RUBY BMS, EVT",1
2,1,63-00013,"PCB (UNPOPULATED), BMS ORB BATTERY",1
2,2,61-00150,824001,2
2,3,61-00002,744771004,1
2,4,61-00270,430451025836,1
2,5,62-00020,665102131822,2
2,6,61-00331,150044M155260,11
2,7,61-00318,C1608X5R1H104K080AA,40
2,8,61-00319,06035A270KAT2A,2
2,9,61-00321,C2012X5R1E105M085AC,2
2,10,61-00322,CL21A226MPQNNNE,4
2,11,61-00320,TMK325BJ475MNHT,16
2,12,61-00008,CSD17308Q3,1
2,13,61-00024,CSD17577Q3A,1
2,14,61-00026,LVT12R0050FER,3
2,15,61-00011,MUSBR-M5C1-M0,1
2,16,61-00323,CR0603-FW-1005ELF,10
2,17,61-00465,0603WAF100JT5E,54
2,18,61-00325,CPF0603F150RC1,24
2,19,61-00470,0603WAF1001T5E,9
2,20,61-00327,RC0603FR-07330RL,12
2,21,61-00328,RMCF0603FT510K,3
2,22,61-00013,SMA6J20A-TR-REV,2
2,23,61-00333,0680L9100-05,1
2,24,61-00334,SiSS06DN-T1-GE3,4
2,25,61-00099,BAS70W-05-7-F,1
2,26,61-00335,PRF15BE103RB6RC,1
2,27,61-00062,RMCF0603ZT0R00,12
2,28,61-00064,RMCF0603FT100K,10
2,29,61-00330,CPF0603F10KC1,15
2,30,61-00336,BQ294703DSGR,1
2,31,61-00001,742792410,1
2,32,61-00006,BQ24780SRUYR,1
2,33,61-00463,BQ76942PFBR,1
2,34,61-00222,885012206077,7
2,35,61-00197,"PMEG6010CEJ,115",5
2,36,61-00198,PMV30ENEAR,10
2,37,61-00339,SFJ-1412,1
2,38,61-00341,STM32G431CBU6,1
2,39,61-00458,TMP112NAIDRLR,1
2,40,61-00022,TPS70933DRVR,1
2,41,61-00106,TSX-3225 24.0000MF10Z-C,1
1,22,83-00017,Battery temperature sensor assembly,2
2,1,62-00047,WE Part No.: 665002113322,1
2,2,61-00317,NTCLE317E4103SBA,1
2,3,61-00512,WE Part No.: 665165128130,1
1,23,83-00018,Battery_PCB-to-PCB_Connector,1
2,1,61-00452,61303211221,1

